inventory_id,prod_id,qty,color,size,weight,retail,cost_price
839,201,0,"",small,0,0,0
891,214,0,tan,large,1,0,0
844,202,0,"",large,1,0,0
842,202,0,"",small,0,0,0
881,211,0,"",medium,0,0,0
846,203,0,"",medium,0,0,0
847,203,0,"",large,0,0,0
843,202,0,"",medium,0,0,0
849,204,0,"",medium,0,0,0
850,204,0,"",large,0,0,0
860,207,0,blue,small,0,0,0
852,205,0,"",medium,0,0,0
853,205,0,"",large,0,0,0
854,206,0,"",small,0,0,0
855,206,0,"",medium,0,0,0
856,206,0,"",large,0,0,0
898,215,0,blue,small,0,0,0
861,207,0,blue,medium,1,0,0
889,214,0,tan,small,0,0,0
862,207,0,blue,large,1,0,0
858,207,0,red,medium,1,0,0
859,207,0,red,large,1,0,0
874,210,0,pink,large,0,0,0
932,224,0,Blue,3XL,1,0,0
865,208,0,tan,large,1,0,0
866,208,0,green,small,0,0,0
900,215,0,blue,large,0,0,0
895,215,0,purple,small,0,0,0
896,215,0,purple,medium,0,0,0
926,222,0,"",large,1,0,0
870,209,0,"",medium,0,0,0
885,212,0,"",large,0,0,0
907,218,0,"",small,0,0,0
869,209,0,"",small,0,0,0
875,210,0,pink,1XL,0,0,0
876,210,0,blue,small,0,0,0
877,210,0,blue,medium,0,0,0
878,210,0,blue,large,0,0,0
879,210,0,blue,1XL,1,2.5,0
918,221,0,pink,large,0,0,0
880,211,0,"",small,0,0,0
894,214,0,grey,large,1,0,0
882,211,0,"",large,0,0,0
841,201,0,"",large,1,0,0
883,212,0,"",small,0,0,0
887,213,0,"",medium,0,0,0
888,213,0,"",large,0,0,0
845,203,0,"",small,0,0,0
893,214,0,grey,medium,1,0,0
905,217,0,"",medium,0,0,0
904,217,0,"",small,0,0,0
890,214,0,tan,medium,1,0,0
864,208,0,tan,medium,0,0,0
848,204,0,"",small,0,0,0
897,215,0,purple,large,0,0,0
899,215,0,blue,medium,0,0,0
917,221,0,pink,medium,0,0,0
867,208,0,green,medium,0,0,0
873,210,0,pink,medium,0,0,0
901,216,0,"",small,0,0,0
902,216,0,"",medium,0,0,0
903,216,0,"",large,0,0,0
892,214,0,grey,small,0,0,0
906,217,0,"",large,0,0,0
925,222,0,"",medium,0,0,0
915,220,0,"",1XL,1,0,0
908,218,0,"",medium,0,0,0
909,218,0,"",large,0,0,0
884,212,0,"",medium,1,0,0
872,210,0,pink,small,0,0,0
871,209,0,"",large,1,0,0
863,208,0,tan,small,0,0,0
914,220,0,"",XL,0,0,0
886,213,0,"",small,0,0,0
919,221,0,pink,XL,1,0,0
920,221,0,blue,small,0,0,0
923,221,0,blue,XL,0,0,0
924,222,0,"",small,0,0,0
913,220,0,"",Large,0,0,0
928,223,0,"",medium,0,0,0
936,225,0,grey,small,0,0,0
20468,2846,0,"",4,1,0,0
851,205,0,"",small,0,0,0
927,223,0,"",small,0,0,0
935,224,0,Pink,3XL,1,0,0
929,223,0,"",large,0,0,0
20469,2846,0,"",5,1,0,0
933,224,0,Pink,1XL,0,0,0
934,224,0,Pink,2XL,1,0,0
931,224,0,Blue,2XL,1,0,0
857,207,0,red,small,0,0,0
868,208,0,green,large,1,0,0
916,221,0,pink,small,0,0,0
20467,2846,0,"",3t,0,0,0
940,225,0,purple,medium,0,0,0
941,225,0,purple,large,0,0,0
1024,242,0,"",medium,0,0,0
1019,241,0,grey,large,1,0,0
1030,245,0,Taupe,"",0,0,0
985,237,0,oatmeal,small,0,0,0
982,236,0,Grey,1XL,1,0,0
956,229,0,"",large,1,0,0
954,229,0,"",small,0,0,0
955,229,0,"",medium,0,0,0
